Model,Context_Length,Strand,Log_Likelihood
fine_tuned,5000,-,-0.4822317
fine_tuned,1000,-,-39933.7
fine_tuned,1000,-,-8.182208
fine_tuned,5000,-,-1.478288
fine_tuned,5000,-,-0.04556558
fine_tuned,5000,+,-0.848194
fine_tuned,5000,+,-437.7525
fine_tuned,5000,-,-0.04265925
fine_tuned,5000,+,-4.213607
fine_tuned,5000,+,-2.867663
fine_tuned,5000,+,-1554.418
fine_tuned,5000,+,-1.059675
fine_tuned,5000,+,-1216.261
fine_tuned,5000,+,-5934.0
fine_tuned,5000,+,-122579400.0
fine_tuned,5000,+,-0.1591455
fine_tuned,5000,+,-1.056356e+17
fine_tuned,50000,-,-90.39544
fine_tuned,50000,-,-30.58823
fine_tuned,50000,-,-2.136888
fine_tuned,50000,+,-992.8787
fine_tuned,50000,+,-16.19113
fine_tuned,50000,-,-181762.6
fine_tuned,50000,-,-1616.858
fine_tuned,50000,-,-33.10496
fine_tuned,50000,-,-0.2095089
fine_tuned,50000,-,-38.32194
fine_tuned,50000,-,-62.08426
fine_tuned,50000,-,-52.40993
fine_tuned,50000,-,-5.903032
fine_tuned,50000,-,-78.92559
fine_tuned,50000,-,-2974.053
fine_tuned,50000,-,-11.19635
fine_tuned,50000,-,-4060132.0
fine_tuned,50000,-,-55.55402
fine_tuned,50000,-,-30534.67
fine_tuned,50000,-,-23.83846
fine_tuned,50000,-,-3.525953
fine_tuned,50000,-,-4.932025
fine_tuned,50000,-,-0.2184593
fine_tuned,50000,-,-164.5015
fine_tuned,50000,-,-1.312541
fine_tuned,50000,-,-360.6767
fine_tuned,50000,-,-5.806885
fine_tuned,50000,-,-3.481897e+19
fine_tuned,50000,-,-1379.268
fine_tuned,50000,-,-0.1573336
fine_tuned,50000,-,-3038.799
fine_tuned,50000,-,-21.36724
fine_tuned,50000,+,-2.232597
fine_tuned,50000,+,-6.370417
fine_tuned,50000,-,-664883100.0
fine_tuned,50000,-,-185.7424
fine_tuned,50000,-,-128.3915
fine_tuned,50000,-,-71.76737
fine_tuned,50000,-,-38.45434
fine_tuned,50000,-,-323.5281
fine_tuned,50000,-,-0.9598448
fine_tuned,50000,-,-6.511055
fine_tuned,50000,+,-175.8336
fine_tuned,50000,+,-79408.46
fine_tuned,50000,+,-100.4985
fine_tuned,50000,+,-3.656724
fine_tuned,50000,+,-46046600.0
fine_tuned,50000,+,-117.2922
fine_tuned,50000,+,-1375365.0
fine_tuned,50000,+,-98.31133
fine_tuned,50000,+,-13.80393
